"","exercise_time","milk_ml","parents_height","height"
"1",10,0.287577520124614,182.874027189095,101.692201964475
"2",11,0.788305135443807,176.931226351159,103.560510898778
"3",12,0.4089769218117,195.352708279406,102.725875812074
"4",13,0.883017404004931,170.592549515836,103.488681766209
"5",14,0.940467284293845,158.609411513987,103.165035630746
"7",16,0.528105488047004,171.104340408601,103.154443213809
"9",18,0.551435014465824,158.515975842163,103.991782499964
"11",20,0.956833345349878,197.586918618253,104.764219720881
"12",21,0.453334156190977,155.931913950484,105.442632140892
"13",22,0.677570635452867,177.080519122956,103.730716181345
"14",23,0.572633401956409,166.898513564575,105.346124797214
"15",24,0.102924682665616,155.884468575073,105.463501759675
"16",25,0.899824970401824,176.744103692942,106.560908320729
"18",27,0.0420595335308462,175.794919464359,104.818177338638
"19",28,0.327920719282702,181.140318257252,105.209384660962
"22",31,0.6928034061566,165.967201035383,106.222450154434
"25",34,0.655705799115822,169.784680465365,109.561850123994
"26",35,0.708530468167737,172.459126729398,107.339992753739
"27",36,0.544066024711356,179.3227206767,108.197079006881
"29",38,0.28915973729454,168.132825801017,107.042966998082
"31",40,0.963024232536554,165.55796008137,110.792784783975
"34",43,0.795467417687178,178.286441640954,109.291157552422
"35",44,0.0246136845089495,161.548373588378,106.781211936772
"37",46,0.758459537522867,149.226386050459,108.801203281607
"40",49,0.231625785352662,173.90363909186,108.680382938522
"41",50,0.142800022382289,183.260629791786,110.90170436671
"42",51,0.414546335814521,164.599645287961,110.518167380738
"44",53,0.368845450924709,172.558428379778,109.601715977513
"50",59,0.857827715342864,169.403623379612,111.713928325445
"51",60,0.0458311666734517,162.449854682121,112.851902480818
"52",61,0.442200074205175,171.136446929319,113.588122344888
"54",63,0.12189925997518,168.011626023428,111.762282355688
"56",65,0.20653138961643,181.089079686528,113.008748610293
"58",67,0.753307864302769,169.171098816288,114.08219225392
"62",71,0.0948406609240919,178.430109399953,113.283599918628
"65",74,0.814640038879588,188.017362543084,115.523638466271
"68",77,0.812389509519562,178.177254102344,116.053564687619
"69",78,0.794342321110889,162.899233447674,117.228941293869
"71",80,0.754475158639252,162.231061834278,116.840884714453
"73",82,0.710182401351631,166.578563975658,117.360188108154
"74",83,0.000624773325398564,174.220296996603,118.729326581672
"76",85,0.220118885161355,153.569364032173,116.212170172151
"77",86,0.379816537722945,158.145347365043,117.769531551983
"80",89,0.111135424347594,179.540882470912,117.497224261376
"82",91,0.66805558744818,164.123605123156,120.398462998517
"83",92,0.417646779678762,172.621455965639,118.635055103597
"85",94,0.102864644257352,176.052827435813,118.707730933019
"89",98,0.886469060787931,182.208210795485,121.595110470288
"91",100,0.130695691565052,174.117208717572,120.397419277773
"92",101,0.653101925039664,159.405691716317,120.789656783565
"93",102,0.343516472261399,168.575057947098,120.97550658934
"94",103,0.656758127966896,185.725369518636,120.624098021176
"97",106,0.782294301316142,167.241465486085,122.895920845515
"98",107,0.0935949867125601,178.5746468112,120.279761619773
"99",108,0.46677904156968,161.503398900843,121.642324741517
"102",111,0.332823540316895,169.404329536049,123.978365932877
"103",112,0.488613033667207,148.529837888057,122.818913190438
"104",113,0.954473827499896,146.846154411652,124.479457417732
"105",114,0.4829023971688,165.317778232171,123.061723408117
"107",116,0.914438186911866,185.808420614871,123.691610623826
"110",119,0.147094690939412,183.140463119384,123.95190444223
"113",122,0.0607205715496093,163.138272191027,125.717484678655
"114",123,0.947726940037683,172.889998377356,125.410753885108
"116",125,0.142294295597821,172.04474767989,126.87490894624
"118",127,0.95409123855643,170.263534904505,126.012661764039
"122",131,0.319820617092773,173.677447529322,127.265734681096
"124",133,0.219767631264403,168.220548024029,127.615263037606
"125",134,0.369488865835592,172.405337887967,126.953627115075
"129",138,0.141906907781959,177.434415582606,128.683320169872
"133",142,0.672999092610553,175.779323445195,129.556737556284
"136",145,0.65983844967559,179.671339807949,128.606757697241
"138",147,0.786281551700085,181.379842056562,130.919776577305
"141",150,0.31170220207423,167.211545456506,129.64776111205
"142",151,0.409474952612072,156.529019992168,130.271066215314
"143",152,0.0104671118315309,176.829283383588,131.91071462641
"144",153,0.18384952400811,167.379752857944,129.720085712946
"145",154,0.842729318886995,163.007212182607,131.800769452062
"150",159,0.73213520552963,175.032858979393,133.310449266646
"151",160,0.847453165100887,164.065435660614,132.810831559471
"152",161,0.497527267085388,174.536875845231,132.33466181037
"155",164,0.111096461303532,189.68578322295,134.554043816971
"157",166,0.571935313986614,173.933534031924,135.081508935733
"159",168,0.44476800202392,166.478620618414,134.109035307327
"161",170,0.502299563260749,195.803960031902,134.182102071013
"164",173,0.374713956611231,174.229912708294,136.424798216923
"166",175,0.533687945455313,175.219481359325,137.294744182621
"167",176,0.740334360394627,166.58362620729,136.103317140224
"169",178,0.41274611861445,171.072002730404,135.789064701988
"171",180,0.629973053466529,170.561159207876,137.726975278921
"175",184,0.668284649727866,166.690554419437,138.585241555252
"177",186,0.372238060226664,185.366328965394,137.895935984479
"178",187,0.529835685854778,176.904136290988,138.21632113737
"179",188,0.874682342866436,165.13756148346,139.252722044984
"182",191,0.312448164913803,165.994363429292,139.373923395653
"185",194,0.594343194039539,173.954335274883,139.750224982702
"194",203,0.619993310188875,170.705874679633,140.890522633205
"197",206,0.406832593260333,171.95955118234,143.636417475271
"198",207,0.659230324206874,176.919106220705,140.972019767859
"199",208,0.152346616843715,163.081673343264,141.834268849935
"200",209,0.572867058217525,169.573908968061,143.851928452474
